,Corruption,FP,T5D
0,brightness,0.019097333333332665,0.9316413333332956
1,gaussian_noise,0.08273866666666896,3.3406093333332776
2,motion_blur,0.03915066666666667,1.51460799999996
3,rotate,0.04294066666666643,2.0125706666666283
4,scale,0.06741600000000342,2.5953053333333007
5,shot_noise,0.09956400000000393,3.8107586666666413
6,snow,0.055096666666665316,2.139991333333309
7,tilt,0.027621333333333224,1.3955119999999666
8,translate,0.03261250000000049,1.619591499999994
9,zoom_blur,0.03248799999999768,1.2035139999999644
