,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,60.672,29.303,18.73,13.5145,10.336,0.23284537228755653,0.2263538301922381,0.15205382439307868,0.1600685976445675,0.22678970801644027
1,far_focus,60.26,27.804,17.006666666666668,11.7655,8.744,0.27056338731199503,0.24349815910682082,0.24057831009849906,0.23362432490102944,0.21908130822703242
2,fog_3d,61.072,26.753,14.717333333333332,9.059,6.0216,0.1976157904136926,0.22285326826386154,0.17478311521699652,0.10539410662022419,0.12131139860139228
3,flash,45.588,21.324,12.850666666666667,8.236,5.0216,0.13718383410014212,0.09312887443229556,0.08060252107679844,0.06128697842359543,0.12412946240510792
4,color_quant,63.616,31.644,20.499333333333333,13.8195,7.3436,0.22350983694195747,0.29910668171942234,0.12944021332077682,0.16372977930586785,0.12797016859985888
5,low_light,54.738,26.673,16.996666666666666,11.8445,8.1164,0.21539304836187512,0.19117823417764157,0.22471390082500872,0.2607228570850566,0.23066602018661797
6,xy_motion_blur,55.212,24.434,14.024,8.897,5.992,0.18169499468058348,0.19632245204411444,0.17706658598035574,0.11893386801239103,0.1169886594871059
7,z_motion_blur,44.406,19.088,10.873333333333333,6.957,5.0924,0.1287629201542586,0.16787411272525787,0.19578390126116574,0.1898896056227386,0.18640250503085554
8,iso_noise,55.61,27.357,17.47,12.1925,8.664,0.24057155358605087,0.22371200122870505,0.1990839228965342,0.24137436982709914,0.22709420113824308
9,bit_error,56.048,24.869,14.077333333333334,8.8315,4.1904,0.2924601319245994,0.22199829039163888,0.1486052095424384,0.19323364389128983,0.15379558480344713
10,h265_abr,63.154,31.221,20.081333333333333,12.983,10.422,0.30599065218120813,0.18193418020382524,0.30140271689742804,0.16147520695813,0.18815997010096908
