,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,69.368,33.253,21.137333333333334,15.099,11.4704,0.3895252966322005,0.3684095668140799,0.3482017556671053,0.345447518164292,0.34176852530799806
1,far_focus,69.462,31.428,18.96066666666667,12.9075,9.4764,0.3924855929799378,0.3987207394093275,0.385257123503834,0.3925593141466379,0.3712930581532419
2,fog_3d,68.938,28.394,14.806666666666667,8.7875,5.66,0.433667998528108,0.3487519744085148,0.21334453957388178,0.13708664622390643,0.08233899000333622
3,flash,52.774,24.366,14.362,8.925,5.112,0.26028286293148994,0.2179994332836941,0.18321889452636242,0.21585889300331473,0.13007569266483188
4,color_quant,74.414,36.834,23.604,14.9525,6.69,0.38669367926195264,0.35557104111649096,0.3821864454075694,0.4119371026754379,0.239897254970856
5,low_light,60.47,28.887,17.882666666666665,11.8995,7.2028,0.30237643513828516,0.3067742788698524,0.2549525643698871,0.2474345532245934,0.13693379377946258
6,xy_motion_blur,61.194,25.81,13.841333333333333,8.295,5.226,0.28365030023269355,0.3783364314585924,0.3888810444623232,0.2834186861291528,0.19842276396229863
7,z_motion_blur,54.052,23.316,13.238,8.433,6.0968,0.380927640479058,0.3667900017462671,0.36672126851044595,0.2707136245444417,0.28385056438855827
8,iso_noise,55.652,26.375,15.35,8.5165,3.2188,0.13526504742912948,0.2220516037195921,0.2441431046463549,0.19027000060305,0.21111553465016186
9,bit_error,66.756,29.823,17.141333333333332,10.713,5.1724,0.3030994648579508,0.2844200802501291,0.24676479725167155,0.36937258392572403,0.21737680863589048
10,h265_abr,74.63,36.648,23.032,14.3545,11.6,0.2713100044056773,0.34510633535683155,0.37570265121757984,0.3180714501067996,0.2831340623088181
