,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,80.044,39.065,25.326666666666668,18.455,14.3252,0.33182304725050926,0.363076401874423,0.22762743197381496,0.2355527319014073,0.23162405658513308
1,far_focus,79.834,37.867,23.753333333333334,16.825,12.7388,0.26566457748413086,0.2961186245083809,0.2683303030207753,0.23141699377447367,0.2628639889881015
2,fog_3d,80.688,37.155,21.022,13.2215,8.8712,0.27341705933213234,0.4020257575903088,0.2794286501593888,0.245569437276572,0.12736796867102385
3,flash,72.192,34.892,21.99266666666667,15.025,10.0324,0.37197266332805157,0.29750028485432267,0.2990167993120849,0.19129975233227015,0.14972133212722838
4,color_quant,82.778,41.229,26.99266666666667,19.007,13.4632,0.22872596606612206,0.28134399466216564,0.3364458710420877,0.3203607415780425,0.2447286145761609
5,low_light,77.036,38.005,24.836,18.007,13.3604,0.27444776985794306,0.2730660252273083,0.304607642814517,0.22774059558287263,0.43548410339280963
6,xy_motion_blur,74.86,34.093,20.202,13.2805,9.1516,0.2913211062550545,0.3146367147564888,0.2535941554233432,0.3052695640362799,0.311042545363307
7,z_motion_blur,69.412,31.969,19.37,12.995,9.7132,0.3156884852796793,0.2795472852885723,0.26590557117015123,0.2642915458418429,0.2676698383875191
8,iso_noise,76.114,37.938,25.164666666666665,18.492,13.5112,0.37911468325182796,0.3453448535874486,0.29444801853969693,0.3826369112357497,0.30553950695320964
9,bit_error,77.644,35.912,21.456,13.997,7.5656,0.26979301404207945,0.14083176944404843,0.3268292285501957,0.3245993950404227,0.3765909126959741
10,h265_abr,83.468,41.109,26.258,17.4795,14.1468,0.3199888691306114,0.2678587269037962,0.29409711668267846,0.2779596378095448,0.34621178545057774
