,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,83.188,40.959,26.828,19.6685,15.3564,0.13127463450655338,0.13328735344111914,0.15889032185077664,0.270224797539413,0.25518957525491714
1,far_focus,83.112,39.979,25.578666666666667,18.3845,14.094,0.272251196205616,0.2467966703698039,0.2577684260904789,0.23493322730064392,0.18665393441915512
2,fog_3d,83.572,39.556,23.118,14.8885,10.2016,0.33670138753950596,0.3190688183531165,0.2583775685634464,0.25296154922398273,0.2482104637019802
3,flash,77.836,37.93,24.342,17.013,11.8084,0.27566096372902393,0.30268187541514635,0.348397942725569,0.30364011437632143,0.18752982234582305
4,color_quant,85.188,42.479,28.102666666666668,20.527,14.976,0.21918508410453796,0.31657147593796253,0.2455611638724804,0.263559359125793,0.3092517415061593
5,low_light,81.648,40.451,26.621333333333332,19.536,14.9332,0.24480678886175156,0.1812505810521543,0.20750489179044962,0.2884516934864223,0.3562386645935476
6,xy_motion_blur,80.034,37.677,23.207333333333334,15.8995,11.4412,0.25412165466696024,0.27167082112282515,0.24168937001377344,0.30009398609399796,0.3039457858540118
7,z_motion_blur,77.716,37.106,23.361333333333334,16.402,12.5772,0.2411533873528242,0.3113683117553592,0.24729270860552788,0.26812158804386854,0.3112639272585511
8,iso_noise,81.59,40.82,27.083333333333332,20.1465,15.4372,0.2534566568210721,0.2748232171870768,0.32766432827338576,0.2921796948648989,0.2022135411389172
9,bit_error,80.948,38.058,23.238,15.566,8.9204,0.2984112426638603,0.2710677538998425,0.24413954187184572,0.22527220472693443,0.34160150960087776
10,h265_abr,85.688,42.3,27.33,19.0395,15.3716,0.22639570385217667,0.19321970455348492,0.25290171802043915,0.2196712484583259,0.2619000943377614
