,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,66.792,31.84,20.188,14.3365,10.8116,0.30127282440662384,0.31995296105742455,0.2330731558613479,0.23468134365975857,0.2795705837197602
1,far_focus,67.362,30.248,18.157333333333334,12.3995,9.1156,0.35430037416517735,0.3077330314554274,0.4090407248586416,0.43794870749115944,0.34877340495586395
2,fog_3d,68.588,29.735,16.106,9.7755,6.3272,0.33464879146777093,0.22530295723117888,0.20139222091529518,0.17089592694537714,0.13603659387445077
3,flash,52.834,24.782,14.832,9.418,5.6348,0.27178482222370803,0.22036540415138006,0.17658028902951628,0.2050323352450505,0.20921036915387958
4,color_quant,72.292,35.703,22.7,14.8795,7.724,0.3151354165747762,0.3305934118106961,0.22339080506935716,0.17241305438801646,0.132093200343661
5,low_light,57.684,27.604,17.256666666666668,11.5805,7.292,0.20386799238622189,0.1546551379142329,0.2680493623483926,0.22644265880808234,0.15779437113087624
6,xy_motion_blur,52.794,20.147,10.254,5.9725,3.7656,0.2563376910984516,0.2291219918988645,0.19440269586630166,0.16612340696156025,0.1360782488482073
7,z_motion_blur,45.718,19.081,10.590666666666667,6.6275,4.7892,0.30089305550791323,0.3016586049925536,0.28591042244806886,0.24986359872855246,0.26471065427176654
8,iso_noise,50.846,24.101,14.186666666666667,8.407,4.1388,0.2509527886286378,0.2035431396216154,0.20129085541702807,0.2267841815482825,0.12394913181196898
9,bit_error,63.904,28.542,16.393333333333334,10.2045,4.8764,0.36603749729692936,0.25597490882501006,0.27072337782010436,0.1769054380711168,0.23588990839198232
10,h265_abr,71.106,34.655,21.328,12.6595,10.3456,0.20033895829692483,0.3021531314589083,0.24936481681652367,0.2861870969645679,0.2278425961267203
