,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,68.866,32.859,20.883333333333333,14.9175,11.3856,0.2534591853618622,0.18932855129241943,0.19111943244934082,0.18976420164108276,0.18578797578811646
1,far_focus,69.586,31.423,19.046666666666667,13.1215,9.6248,0.2670588493347168,0.2670588493347168,0.2670588493347168,0.2670588493347168,0.2670588493347168
2,fog_3d,71.912,31.787,17.525333333333332,10.7645,7.1196,0.1168070062994957,0.19709227979183197,0.05077837035059929,0.06329590082168579,0.04178948327898979
3,flash,58.634,27.833,17.138666666666666,11.229,7.0632,0.33565810322761536,0.13351193070411682,0.14665763080120087,0.20580896735191345,0.07777447253465652
4,color_quant,74.51,36.953,23.813333333333333,16.0435,9.8244,0.3133329451084137,0.38262271881103516,0.3250057101249695,0.6651468276977539,0.6326908469200134
5,low_light,63.27,30.662,19.452,13.4395,8.894,0.1825135499238968,0.5529653429985046,0.14653494954109192,0.5207256078720093,0.3118923306465149
6,xy_motion_blur,58.62,24.272,13.0,7.8025,5.0088,0.1577197164297104,0.39987635612487793,0.3097175657749176,0.10419296473264694,0.15049177408218384
7,z_motion_blur,49.068,20.766,11.622,7.394,5.3908,0.3308281898498535,0.4749746024608612,0.4374300241470337,0.7026516199111938,0.6173943877220154
8,iso_noise,61.204,29.67,18.122,11.5415,6.2432,0.8171815425157547,0.8356894105672836,0.3575151264667511,0.8909164816141129,0.06559701263904572
9,bit_error,66.894,30.273,17.594,11.213,5.6436,0.09537755697965622,0.09537755697965622,0.12272448092699051,0.07986852526664734,0.8397743701934814
10,h265_abr,73.51,35.827,22.081333333333333,13.429,10.928,0.08605250716209412,0.13254502415657043,0.09625183790922165,0.11944776028394699,0.04777324199676514
