,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,70.644,33.636,21.322,15.2055,11.5232,0.4025319004431367,0.36723891412839293,0.34159114700742066,0.387913019862026,0.39303080225363374
1,far_focus,70.904,31.966,19.218666666666667,13.1275,9.6572,0.42884853202849627,0.4127116808667779,0.42753256391733885,0.42515575233846903,0.391489889472723
2,fog_3d,72.694,32.023,17.602666666666668,10.8495,7.1736,0.3598891464062035,0.30481851077638566,0.2852032952941954,0.2192514505586587,0.14525189821142703
3,flash,57.412,26.939,16.273333333333333,10.4515,6.308,0.32640828797593713,0.3292287972290069,0.38156308024190366,0.3660999129060656,0.2833112592343241
4,color_quant,76.072,37.73,24.13,15.576,8.0272,0.40736409835517406,0.35767837427556515,0.43276376789435744,0.41603745240718126,0.34227401833049953
5,low_light,64.132,30.706,19.480666666666668,13.3475,8.7588,0.3833800673019141,0.33773613907396793,0.48925335612148046,0.35811954410746694,0.37215776881203055
6,xy_motion_blur,58.914,23.502,12.256666666666666,7.2415,4.6696,0.2899085651151836,0.33259011013433337,0.28651352995075285,0.24412897473666817,0.21702204342000186
7,z_motion_blur,53.174,22.719,12.686,7.9895,5.7988,0.4844373557716608,0.47186790220439434,0.4536426728591323,0.47290289611555636,0.3974654106423259
8,iso_noise,58.816,28.024,16.699333333333332,10.1325,5.4224,0.25057350588031113,0.31233237171545625,0.2502945701126009,0.36134614318143576,0.23880959732923657
9,bit_error,68.448,30.941,18.093333333333334,11.48,5.792,0.39614162035286427,0.3840022636577487,0.33051143307238817,0.45186788868159056,0.3701994093134999
10,h265_abr,75.204,36.746,22.744666666666667,13.9435,11.3968,0.33045952254906297,0.3163255341351032,0.34366061305627227,0.2933266565669328,0.3529137757141143
