,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,76.118,37.794,24.798,18.0715,13.7408,0.3282657163217664,0.23626024927943945,0.24927797075361013,0.288353297393769,0.2892100983299315
1,contrast,76.67,37.674,24.238,16.2805,9.9784,0.3882026635110378,0.24721412872895598,0.2765461769886315,0.3035034635104239,0.11703020066488534
2,defocus_blur,61.308,27.76,14.134666666666666,7.4175,3.856,0.29708069330081344,0.27903161803260446,0.2638923379126936,0.21443848684430122,0.2025859165005386
3,elastic_transform,67.746,21.845,19.826,11.4485,3.7152,0.24756350694224238,0.2932024449110031,0.2719589837361127,0.2808090425096452,0.3354455614462495
4,fog,72.598,34.862,21.55,15.031,9.4156,0.30200763838365674,0.3537290138192475,0.3350949711166322,0.25946115714032203,0.19021737249568105
5,frost,70.738,30.173,16.828,12.316,8.4204,0.26498700957745314,0.2898147567175329,0.19921848108060658,0.22368118749000132,0.27478049928322434
6,gaussian_noise,70.574,32.722,18.772,11.175,5.0492,0.27730529475957155,0.19215496606193483,0.18030132446438074,0.2469209162518382,0.1914650732651353
7,glass_blur,62.396,26.483,9.378666666666666,5.366,2.748,0.14719643630087376,0.26946998108178377,0.2523293080739677,0.2237683837302029,0.24624749855138361
8,impulse_noise,69.804,31.624,18.965333333333334,10.58,4.9276,0.29106806963682175,0.2196165076456964,0.2238328135572374,0.26670997869223356,0.20410945964977145
9,jpeg_compression,67.836,32.613,21.104,14.5,10.094,0.3249017084017396,0.23854533676058054,0.2707633883692324,0.25630660727620125,0.2629383800085634
10,motion_blur,68.394,30.992,16.903333333333332,8.9945,5.3596,0.2519554435275495,0.2734411624260247,0.19405477633699775,0.3117861049249768,0.24925025855191052
11,pixelate,68.668,32.56,19.948666666666668,12.5725,8.05,0.3094020071439445,0.3575700195506215,0.38561704102903605,0.18794029019773006,0.2567513268440962
12,shot_noise,69.346,31.361,18.13,9.32,4.3104,0.2413399766664952,0.2537275394424796,0.23840178875252604,0.17389043257571757,0.21721547294873744
13,snow,65.622,24.027,16.946666666666665,10.137,7.274,0.2571801790036261,0.14781929785385728,0.18876956938765943,0.3041484742425382,0.27138370648026466
14,zoom_blur,55.744,23.215,12.599333333333334,7.734,4.68,0.28705985960550606,0.31026115780696273,0.2969919291790575,0.2936981020029634,0.3710198784247041
