,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,80.898,40.119,26.426,19.36,14.8804,0.2889322959817946,0.23595550376921892,0.2656286908313632,0.21293671615421772,0.24141522496938705
1,contrast,78.644,38.702,24.923333333333332,16.065,7.156,0.2967248377390206,0.3808457562699914,0.26575108151882887,0.24901690299157053,0.12132396851666272
2,defocus_blur,70.746,32.692,17.55,9.933,5.47,0.3323998060077429,0.32551815174520016,0.21960496110841632,0.18632527440786362,0.15670533664524555
3,elastic_transform,75.82,27.281,22.406,13.526,4.8248,0.2636916907504201,0.23385937931016088,0.23406393732875586,0.282518838532269,0.2839755741879344
4,fog,75.856,36.785,22.997333333333334,15.9115,9.966,0.3269274509511888,0.2777052572928369,0.3137682562228292,0.2453519986011088,0.18826711853034794
5,frost,74.144,31.638,17.913333333333334,12.964,9.0988,0.21878347732126713,0.22887665079906583,0.21340039791539311,0.19856898998841643,0.2424221762921661
6,gaussian_noise,76.456,36.133,21.048666666666666,11.865,4.9376,0.17046637646853924,0.20436645345762372,0.2109893006272614,0.09119184594601393,0.0540835716528818
7,glass_blur,69.904,29.551,9.542666666666667,5.364,2.8624,0.2514220681041479,0.266058333683759,0.27251112344674766,0.21899523911997676,0.2110523923765868
8,impulse_noise,74.638,34.228,20.707333333333334,11.2325,4.9924,0.28101462265476584,0.15766166057437658,0.15566376550123096,0.071424116846174,0.031700824620202184
9,jpeg_compression,75.186,36.459,23.707333333333334,16.415,11.4564,0.34699350548908114,0.3103950126096606,0.3154168170876801,0.21071355743333697,0.25538337929174304
10,motion_blur,76.33,35.255,19.627333333333333,10.591,6.3868,0.3200013693422079,0.20370820816606283,0.20452644396573305,0.206555096199736,0.21586151747033
11,pixelate,75.81,36.432,22.098,13.582,7.1152,0.3298616539686918,0.27140960609540343,0.29345096042379737,0.2530449153855443,0.16427974170073867
12,shot_noise,76.136,35.691,21.022,10.8735,5.7496,0.17876006895676255,0.21550665399990976,0.18344999011605978,0.14704109565354884,0.07563611376099288
13,snow,72.322,28.29,19.633333333333333,12.286,8.1004,0.17157749086618423,0.26006314414553344,0.24234123493079096,0.19168216339312494,0.12755765370093286
14,zoom_blur,65.41,27.935,16.072666666666667,10.123,6.5228,0.35337439365684986,0.31907549407333136,0.2172836042009294,0.2454649591818452,0.21875004889443517
