,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,80.474,39.728,25.884666666666668,18.7605,14.0836,0.4579653749242425,0.3943535122089088,0.37089181039482355,0.40895134024322033,0.36387163680046797
1,contrast,78.268,38.419,24.438,14.8985,6.3396,0.23400874808430672,0.28711917670443654,0.15298489946871996,0.2800756418146193,0.13075803220272064
2,defocus_blur,71.224,33.237,18.332,10.787,6.3528,0.3637112067081034,0.2618036319036037,0.2204487514682114,0.2547418598551303,0.23209443897940218
3,elastic_transform,74.738,26.75,21.998,13.2025,4.748,0.26970610953867435,0.31359065137803555,0.38143673352897167,0.41934190411120653,0.3929748493246734
4,fog,74.32,35.037,20.487333333333332,13.1005,7.0844,0.3332599059212953,0.33020233176648617,0.20093205850571394,0.1661099859047681,0.23203326296061277
5,frost,74.298,32.548,18.748,13.7965,9.7604,0.333564440254122,0.19416641723364592,0.2557609979994595,0.3159644487313926,0.21085906098596752
6,gaussian_noise,75.966,36.106,21.536,13.1035,6.8968,0.3811443876475096,0.29829641012474895,0.2610818059183657,0.24371284781955183,0.25153078231960535
7,glass_blur,68.136,28.507,8.728666666666667,4.8085,2.612,0.2635597330518067,0.3344032899476588,0.2940275373402983,0.27363554295152426,0.27618948463350534
8,impulse_noise,71.986,33.497,20.813333333333333,12.834,7.124,0.2820065300911665,0.2576411529444158,0.22769598616287112,0.17761294194497168,0.2390797515399754
9,jpeg_compression,75.066,36.479,23.682,16.3495,11.576,0.3992734896019101,0.40661168470978737,0.37289468105882406,0.3964814697392285,0.3335541822016239
10,motion_blur,76.22,35.41,19.884,11.2205,7.116,0.2725949380546808,0.40940610645338893,0.23583978437818587,0.26825641049072146,0.29270186740905046
11,pixelate,76.544,37.676,23.019333333333332,14.7385,10.4324,0.318834665697068,0.3237423445098102,0.36347063863649964,0.32256506104022264,0.23929483443498611
12,shot_noise,75.102,35.028,20.649333333333335,11.592,6.7216,0.3203837238252163,0.1742716978769749,0.22503365902230144,0.23701843805611134,0.12576706754043698
13,snow,71.38,28.682,19.406,11.639,8.1064,0.3932632626965642,0.21321034338325262,0.21687461389228702,0.20599145535379648,0.34625314734876156
14,zoom_blur,66.818,29.269,16.929333333333332,10.9015,7.0548,0.3878870108164847,0.3603018894791603,0.34316215850412846,0.322579980827868,0.20451099961064756
