,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,79.48,39.511,25.945333333333334,18.9995,14.5872,0.24409548309631646,0.2447907580062747,0.13866503164172173,0.18471776647493243,0.25359675334766507
1,contrast,76.474,37.613,24.15,15.99,9.136,0.24888372421264648,0.2909239064902067,0.2967718723230064,0.23374920152127743,0.16878357785753906
2,defocus_blur,70.208,32.461,17.298666666666666,9.811,5.696,0.33191577228717506,0.3139375795144588,0.28946679062210023,0.18263264815323055,0.21698682068381459
3,elastic_transform,74.916,27.605,21.9,13.3425,5.11,0.26685260189697146,0.24921961734071374,0.35874642711132765,0.2892973970156163,0.32637820625677705
4,fog,74.328,36.099,22.722666666666665,15.765,9.614,0.34472289122641087,0.33944517420604825,0.18976174085400999,0.24026606371626258,0.23173701157793403
5,frost,73.366,31.327,17.704,12.816,8.932,0.24421214638277888,0.2068794327788055,0.3351026684977114,0.2988480804488063,0.29984375974163413
6,gaussian_noise,76.446,36.943,22.882666666666665,15.041,9.2932,0.19551775697618723,0.22544778091832995,0.2340772650204599,0.16829616716131568,0.22995403944514692
7,glass_blur,67.762,27.923,8.181333333333333,4.3925,2.1904,0.1636322303675115,0.18864461686462164,0.23660080460831523,0.21800670982338488,0.2963051025290042
8,impulse_noise,72.882,34.763,22.207333333333334,14.6825,9.4956,0.28211699798703194,0.2905112898442894,0.23865600349381566,0.22741181426681578,0.24227468587923795
9,jpeg_compression,73.524,35.793,23.368,16.2485,11.5136,0.24540592706762254,0.288673534989357,0.23807737324386835,0.17467007716186345,0.2557120234705508
10,motion_blur,74.766,34.838,19.910666666666668,11.182,6.8132,0.1898818644694984,0.26308967592194676,0.19731547962874174,0.2816932797431946,0.3408057279884815
11,pixelate,74.322,34.997,20.162666666666667,11.12,6.0912,0.15948106558062136,0.28595519810914993,0.2304051409009844,0.2627360946498811,0.24186587473377585
12,shot_noise,75.75,36.26,22.48,14.18,9.4572,0.25029049650765955,0.2793546128086746,0.18105443776585162,0.0970986767206341,0.2485147878760472
13,snow,68.046,26.628,18.144666666666666,11.2155,8.19,0.26403683330863714,0.19493018183857203,0.221047438448295,0.2457778649404645,0.2060147358570248
14,zoom_blur,63.822,27.152,15.502666666666666,9.7145,6.1184,0.22816117596812546,0.2398982895538211,0.3085671472363174,0.2895395695231855,0.18297344003804028
