,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,70.672,33.615,20.660666666666668,12.688,8.04,0.3246468096040189,0.32600744627416134,0.2825664347037673,0.2895710924640298,0.35495721036568284
1,brownish_noise,73.0,33.194,19.544,12.476,8.3332,0.44293690007179976,0.2971619856543839,0.38861170411109924,0.28173381835222244,0.45936458418145776
2,caustic_refraction,69.698,33.245,19.947333333333333,13.3515,9.0492,0.3374048196710646,0.27049996331334114,0.3434074192773551,0.2962987063219771,0.20393650489859283
3,checkerboard_cutout,67.108,30.484,17.402666666666665,10.718,6.5192,0.3723527882248163,0.36022535758093,0.315896017011255,0.3565073860809207,0.3257658975198865
4,cocentric_sine_waves,54.678,16.38,5.1,2.748,1.8596,0.4427910530939698,0.5497760814614594,0.5273273200727999,0.6788911502808332,0.5289025716483593
5,inverse_sparkles,41.174,15.865,6.366,1.8215,1.348,0.5069111152552068,0.47340692952275276,0.41902987100183964,0.29910027515143156,0.3584815370850265
6,perlin_noise,70.626,34.652,22.506,15.297,11.0352,0.21100431261584163,0.25605836044996977,0.27555878506973386,0.31556387851014733,0.26498105854261667
7,plasma_noise,50.586,14.408,6.110666666666667,3.384,2.0396,0.40501319360919297,0.44984369073063135,0.40003120293840766,0.45017879689112306,0.3418307164683938
8,single_frequency_greyscale,59.72,25.54,14.489333333333333,3.454,2.286,0.43874097103253007,0.3121154294349253,0.26677850168198347,0.5678871087729931,0.4559419839642942
9,sparkles,75.184,36.784,23.219333333333335,14.766,10.5812,0.3524083821102977,0.3674159240908921,0.33019740553572774,0.3391316400375217,0.3611777340993285
