,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,79.65,39.585,26.116,18.7805,13.884,0.31425225734710693,0.28373435139656067,0.5141738057136536,0.44775453209877014,0.12744157016277313
1,brownish_noise,80.832,39.794,25.933333333333334,18.956,14.76,0.4959414601325989,0.3425184190273285,0.1646445244550705,0.2271328866481781,0.33512187004089355
2,caustic_refraction,77.64,37.836,23.934666666666665,16.935,12.3852,0.42197996377944946,0.4465765357017517,0.4001372754573822,0.1754339039325714,0.14505666494369507
3,checkerboard_cutout,78.654,38.465,24.846,18.0405,13.8416,0.14688533544540405,0.41115427017211914,0.6282402276992798,0.4547489285469055,0.27281177043914795
4,cocentric_sine_waves,70.52,28.466,13.984666666666667,9.2415,6.9424,0.3895730674266815,0.22138381004333496,0.07647306472063065,0.4632699489593506,0.2811616063117981
5,inverse_sparkles,65.38,31.884,18.672666666666668,9.244,7.1032,0.4848320782184601,0.19084210693836212,0.28573688864707947,0.3983706831932068,0.19772209227085114
6,perlin_noise,79.276,39.442,26.109333333333332,19.094,14.9064,0.2998306453227997,0.23289883136749268,0.3561033308506012,0.13530443608760834,0.1341574639081955
7,plasma_noise,72.934,31.439,18.457333333333334,12.609,9.0908,0.4038880467414856,0.44900649785995483,0.20482102036476135,0.25293418765068054,0.3268074095249176
8,single_frequency_greyscale,75.94,36.327,23.295333333333332,12.35,9.0152,0.28130805492401123,0.8640480041503906,0.1344822645187378,0.5241140723228455,0.5076932907104492
9,sparkles,80.85,39.761,25.841333333333335,18.2415,14.1076,0.4982154369354248,0.5153576731681824,0.7199043035507202,0.14777764678001404,0.2611500918865204
