,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,77.158,37.38,23.966666666666665,16.136,10.2296,0.28342382749542594,0.24304935662075877,0.1963538695126772,0.1328610898926854,0.2231695670634508
1,brownish_noise,79.91,38.889,25.064,17.999,13.6556,0.2528310064226389,0.27009214647114277,0.299297081772238,0.4675191408023238,0.36828656285069883
2,caustic_refraction,76.026,36.735,22.626,15.627,10.956,0.28345676115714014,0.27723704278469086,0.22706842329353094,0.3316099285148084,0.21901423041708767
3,checkerboard_cutout,77.7,37.775,24.162666666666667,17.07,12.7608,0.24129340425133705,0.24772899458184838,0.29137611389160156,0.32723200879991055,0.26561361365020275
4,cocentric_sine_waves,61.926,18.202,4.822,2.4905,1.66,0.31125956191681325,0.5594655801542103,0.5119336727075279,0.6887421617284417,0.5013283835723996
5,inverse_sparkles,55.858,24.34,11.879333333333333,5.4795,4.284,0.3237793375737965,0.278092707041651,0.2304075718857348,0.2727758754044771,0.2780788391828537
6,perlin_noise,78.03,38.601,25.455333333333332,18.091,13.6412,0.2178592598065734,0.21335109462961555,0.30085870902985334,0.2417525197379291,0.25716869067400694
7,plasma_noise,70.056,27.579,14.488666666666667,9.066,5.9928,0.2513399585150182,0.30634845327585936,0.31963228434324265,0.265645865816623,0.28594256611540914
8,single_frequency_greyscale,66.786,28.376,15.998,3.639,2.4344,0.24407033901661634,0.36193637596443295,0.32505037751980126,0.40750400396063924,0.417345205321908
9,sparkles,80.39,39.594,25.662,17.8955,13.6208,0.25077529763802886,0.2787123084999621,0.2982479492202401,0.3395610568113625,0.3409837759099901
