,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,73.2,35.376,22.513333333333332,14.2695,8.4312,0.5922219753265381,0.3338441252708435,0.16280651092529297,0.1598980873823166,0.12051345407962799
1,brownish_noise,76.908,37.127,23.671333333333333,16.789,12.5844,0.41331392526626587,0.3414250314235687,0.6508559584617615,0.8392146825790405,0.49703124165534973
2,caustic_refraction,72.394,34.777,21.172666666666668,14.403,9.9192,0.1913091391324997,0.21321068704128265,0.20367248356342316,0.5204756855964661,0.2988521158695221
3,checkerboard_cutout,73.948,35.638,22.663333333333334,15.8755,11.848,0.08363282680511475,0.3304046094417572,0.3711676001548767,0.12586753070354462,0.4944416582584381
4,cocentric_sine_waves,55.526,14.86,3.5453333333333332,1.816,1.1832,0.16548888385295868,0.12008346617221832,0.13661733269691467,0.6813657283782959,0.3278045654296875
5,inverse_sparkles,49.824,21.319,9.643333333333333,3.6135,2.7564,0.1950303167104721,0.21776741743087769,0.1418963521718979,0.24427998065948486,0.4238030016422272
6,perlin_noise,74.836,36.943,24.228666666666665,17.1455,12.8076,0.17283976078033447,0.10210519284009933,0.1644686460494995,0.1863778531551361,0.11206448823213577
7,plasma_noise,65.256,24.557,12.35,7.4865,4.7716,0.5687655210494995,0.4932584762573242,0.5437541604042053,0.2584882080554962,0.2081986665725708
8,single_frequency_greyscale,59.764,23.956,12.732666666666667,2.3205,1.556,0.12239373475313187,0.09266205877065659,0.241046741604805,0.6099967956542969,0.5278427004814148
9,sparkles,77.41,38.049,24.484666666666666,16.94,12.7628,0.2920020520687103,0.44849738478660583,0.36111879348754883,0.25346535444259644,0.1422778218984604
