,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,60.236,27.135,16.908,11.432,6.1292,0.15463782846927643,0.3460673391819,0.32561832666397095,0.10283038020133972,0.11256733536720276
1,brownish_noise,74.052,35.289,22.088666666666665,15.1855,10.9936,0.3136008083820343,0.1066623255610466,0.5679556131362915,0.2758685350418091,0.3794446289539337
2,caustic_refraction,67.932,32.267,19.32133333333333,12.9325,8.8088,0.2065577208995819,0.10535623133182526,0.30008307099342346,0.39431461691856384,0.09764749556779861
3,checkerboard_cutout,68.63,32.219,19.424666666666667,12.75,8.6232,0.725234866142273,0.46956968307495117,0.5205873250961304,0.3377370536327362,0.7243112921714783
4,cocentric_sine_waves,48.732,11.607,2.68,1.2875,0.836,0.4970168173313141,0.9943509101867676,0.7820734977722168,0.8487392067909241,0.9684317111968994
5,inverse_sparkles,42.662,19.056,9.536666666666667,4.154,3.1952,0.058733370155096054,0.41892099380493164,0.4643973410129547,0.293724924325943,0.23364414274692535
6,perlin_noise,70.544,34.674,22.647333333333332,15.5965,11.422,0.1587192267179489,0.1482483446598053,0.18749894201755524,0.6224351525306702,0.6388753056526184
7,plasma_noise,58.352,19.393,9.218666666666667,5.302,3.3192,0.7926124930381775,0.5659736394882202,0.3083335757255554,0.6768627762794495,0.6577304601669312
8,single_frequency_greyscale,55.684,22.92,12.753333333333334,3.5645,2.4648,0.05959494784474373,0.6097321510314941,0.2892647087574005,0.45198649168014526,0.8993290662765503
9,sparkles,74.692,36.17,22.929333333333332,15.0845,11.0364,0.21686764061450958,0.759651854634285,0.27243849635124207,0.1283157765865326,0.28572607040405273
