,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,74.618,35.892,22.899333333333335,14.6345,9.39,0.24207475362345576,0.22632459620945156,0.21652374230325222,0.2272469608578831,0.28095516422763467
1,brownish_noise,78.516,38.466,25.088666666666665,18.354,14.3272,0.19499300606548786,0.3065075692720711,0.3409248539246619,0.24032588442787528,0.24822700407821685
2,caustic_refraction,73.616,35.512,21.824666666666666,14.995,10.5572,0.28636312461458147,0.2408438134007156,0.21774223749525845,0.19658732321113348,0.17324905167333782
3,checkerboard_cutout,75.364,36.349,23.06,16.1125,11.8984,0.17588724778033793,0.3274823946412653,0.24955662991851568,0.2674492427613586,0.23986662295646966
4,cocentric_sine_waves,61.692,20.712,6.700666666666667,3.7135,2.4408,0.21325274696573615,0.29822652670554817,0.3233892668504268,0.3704348369501531,0.28678844799287617
5,inverse_sparkles,54.98,25.066,11.878666666666666,4.4535,3.4192,0.3033158192411065,0.24211937584914267,0.208648765925318,0.24978172220289707,0.20935310632921755
6,perlin_noise,76.4,37.846,24.931333333333335,18.0305,13.8388,0.36169147957116365,0.3145201650913805,0.3153408158104867,0.2028153615538031,0.1711393736768514
7,plasma_noise,71.224,30.323,17.284666666666666,11.399,8.0596,0.15301310759969056,0.19805898913182318,0.20992538915015757,0.22970065765548497,0.18053120141848922
8,single_frequency_greyscale,66.274,28.842,16.24,3.397,2.1336,0.312786404741928,0.2446091645397246,0.289475740166381,0.30422042682766914,0.4070657077245414
9,sparkles,78.532,38.403,24.612,16.648,12.3984,0.2947113271802664,0.24214510433375835,0.365442082984373,0.17752627050504088,0.2348772999830544
