,Corruption,FP,T5D
0,brightness,0.0839520000000054,1.9926433333332938
1,gaussian_noise,0.25121133333332035,5.367472000000003
2,motion_blur,0.0940486666666707,2.090595333333325
3,rotate,0.12419933333333766,2.9644273333332922
4,scale,0.23188399999999734,4.577661333333348
5,shot_noise,0.3258620000000225,6.538519333333506
6,snow,0.08787800000000405,2.0457333333332888
7,tilt,0.07331533333333579,1.9010193333332985
8,translate,0.10338800000001165,2.6248319999999787
9,zoom_blur,0.07200400000000712,1.677515333333282
