,Corruption,FP,T5D
0,brightness,0.19267733333332027,3.518076666666563
1,gaussian_noise,0.2928433333333382,5.025638000000035
2,motion_blur,0.07741933333333913,1.5543746666666214
3,rotate,0.16529466666666404,3.1826633333333203
4,scale,0.28339866666665736,4.844904000000002
5,shot_noise,0.36807733333338394,6.098082666666686
6,snow,0.08428733333333886,1.685937333333304
7,tilt,0.09407600000000421,1.9301179999999474
8,translate,0.12978250000002745,2.5705690000000203
9,zoom_blur,0.06469533333334658,1.3478139999999699
