,Corruption,FP,T5D
0,brightness,0.1409220000000055,2.8944266666666305
1,gaussian_noise,0.2168166666666586,4.346559999999995
2,motion_blur,0.060552000000002756,1.338857999999971
3,rotate,0.10515133333333783,2.3538853333332885
4,scale,0.23096399999999265,4.2965913333332955
5,shot_noise,0.26835199999999454,5.130699333333338
6,snow,0.060191333333331674,1.3732419999999628
7,tilt,0.05846466666666774,1.4184933333333072
8,translate,0.08073500000001095,1.8923974999999778
9,zoom_blur,0.05388466666667515,1.2185786666666156
