,Corruption,FP,T5D
0,brightness,0.007788666666667033,0.47963466666666954
1,gaussian_noise,0.04871199999999975,2.620649999999989
2,motion_blur,0.011374666666666877,0.6495766666666394
3,rotate,0.017880666666666947,1.0041826666666454
4,scale,0.02929733333333251,1.4875439999999553
5,shot_noise,0.04924999999999993,2.6275033333332938
6,snow,0.011034666666666863,0.6791133333333159
7,tilt,0.012431333333333556,0.748247999999985
8,translate,0.011929500000000008,0.741558999999963
9,zoom_blur,0.00969266666666697,0.5397419999999842
