,Corruption,FP,T5D
0,brightness,0.013212666666666753,0.9937299999999545
1,gaussian_noise,0.0572806666666671,2.9101686666666393
2,motion_blur,0.021979999999999722,1.1871753333333153
3,rotate,0.03206066666666668,1.9825739999999594
4,scale,0.05470866666666952,2.5460546666666493
5,shot_noise,0.06408133333333405,3.21668333333332
6,snow,0.02397066666666686,1.8310206666666342
7,tilt,0.019134000000000012,1.3295846666666442
8,translate,0.02433300000000014,1.5809030000000046
9,zoom_blur,0.02061533333333195,1.1699439999999723
