,Corruption,FP,T5D
0,brightness,0.024675999999998675,1.0212726666666176
1,gaussian_noise,0.11651066666667148,3.8378873333333
2,motion_blur,0.04645066666666693,1.5288053333333016
3,rotate,0.06118933333333287,2.2827159999999513
4,scale,0.1003453333333349,3.1060426666666583
5,shot_noise,0.1292506666666726,4.117783333333333
6,snow,0.05273733333333209,2.081324666666635
7,tilt,0.03807799999999996,1.5703219999999698
8,translate,0.044799000000001,1.8322914999999942
9,zoom_blur,0.04002333333333514,1.3121906666666399
