,Corruption,FP,T5D
0,brightness,0.01929399999999952,0.9522499999999626
1,gaussian_noise,0.09049133333333606,3.4633859999999466
2,motion_blur,0.03565599999999942,1.3069706666666236
3,rotate,0.04553333333333308,1.8714393333332837
4,scale,0.07228533333333631,2.466557333333314
5,shot_noise,0.09814800000000336,3.638189333333312
6,snow,0.03735933333333289,2.143655333333292
7,tilt,0.02939333333333323,1.341661999999965
8,translate,0.0324405000000007,1.4500089999999943
9,zoom_blur,0.03074999999999695,1.1343306666666395
