,Corruption,FP,T5D
0,brightness,0.022687333333332244,0.9437993333332955
1,gaussian_noise,0.10019666666667046,3.3676859999999933
2,motion_blur,0.04286333333333328,1.3752293333332954
3,rotate,0.05636599999999965,2.0274806666666265
4,scale,0.08997000000000246,2.7188266666666454
5,shot_noise,0.11238466666667102,3.6169266666666147
6,snow,0.0436279999999995,1.8410753333332759
7,tilt,0.035276666666666526,1.3950486666666289
8,translate,0.03984100000000061,1.5830344999999824
9,zoom_blur,0.04043333333333569,1.2444919999999684
