,Corruption,FP,T5D
0,brightness,0.11737000000000804,2.2957953333332703
1,gaussian_noise,0.019726666666666483,0.4232233333333344
2,motion_blur,0.0086386666666669,0.20212200000000557
3,rotate,0.023923333333332537,0.5650473333333179
4,scale,0.06846266666667887,1.8210539999999393
5,shot_noise,0.030847333333332925,0.6395286666666641
6,snow,0.0032926666666666664,0.07999200000000045
7,tilt,0.016094666666666695,0.3778333333333444
8,translate,0.018496000000001463,0.43270399999995063
9,zoom_blur,0.010389333333333601,0.24764399999999193
