,Corruption,FP,T5D
0,brightness,0.027127333333330745,1.1573893333333136
1,gaussian_noise,0.09338333333333683,3.3200773333332867
2,motion_blur,0.04107799999999983,1.294862666666635
3,rotate,0.06382466666666683,2.2599506666666223
4,scale,0.10354800000000272,3.0576753333333087
5,shot_noise,0.1127853333333393,3.6895126666666296
6,snow,0.04164466666666614,1.6660206666666162
7,tilt,0.040266666666666735,1.5801639999999664
8,translate,0.04523300000000087,1.7988154999999966
9,zoom_blur,0.03587266666666598,1.175484666666636
