,Corruption,FP,T5D
0,brightness,0.011984666666666803,0.5821633333333053
1,gaussian_noise,0.05981000000000059,2.5167519999999692
2,motion_blur,0.01908200000000003,0.8563413333332983
3,rotate,0.0270473333333333,1.2492093333332988
4,scale,0.04354333333333458,1.7950899999999732
5,shot_noise,0.0648873333333343,2.6406659999999444
6,snow,0.024459333333333493,1.0339786666666484
7,tilt,0.017643333333333486,0.892344666666638
8,translate,0.016752499999999945,0.8721649999999502
9,zoom_blur,0.0169006666666664,0.7194293333332953
