,Corruption,FP,T5D
0,brightness,0.011488666666666838,0.5810079999999722
1,gaussian_noise,0.054686666666667084,2.4303113333332917
2,motion_blur,0.01718000000000015,0.8277699999999688
3,rotate,0.02450266666666684,1.2025806666666379
4,scale,0.03847533333333361,1.6904473333332923
5,shot_noise,0.05843200000000055,2.5634606666666224
6,snow,0.02182333333333353,1.002571999999976
7,tilt,0.01609333333333353,0.8552106666666375
8,translate,0.016508000000000016,0.9109364999999543
9,zoom_blur,0.01516066666666673,0.6998766666666278
