,Corruption,FP,T5D
0,brightness,0.02749399999999802,1.0090126666666361
1,gaussian_noise,0.1274633333333394,3.8419306666666757
2,motion_blur,0.05443666666666756,1.6028806666666513
3,rotate,0.06616266666666712,2.2630546666666187
4,scale,0.11130733333333556,3.1438366666666484
5,shot_noise,0.14616133333333756,4.224530000000002
6,snow,0.0740433333333346,1.9749193333332966
7,tilt,0.04091733333333322,1.5077973333333075
8,translate,0.052412500000001166,1.936205499999993
9,zoom_blur,0.0471313333333382,1.3280466666666266
