,Corruption,FP,T5D
0,brightness,0.02784799999999777,0.9289979999999627
1,gaussian_noise,0.1679500000000026,4.485033333333322
2,motion_blur,0.05753066666666822,1.5596946666666356
3,rotate,0.08153666666666927,2.4177339999999683
4,scale,0.13790466666667156,3.461283333333297
5,shot_noise,0.20234733333333008,5.098119333333378
6,snow,0.0734606666666681,1.8995873333332949
7,tilt,0.04641733333333386,1.5195366666666217
8,translate,0.05503300000000149,1.840906499999982
9,zoom_blur,0.04857666666667241,1.2847753333332956
