,Corruption,FP,T5D
0,brightness,0.043768000000002735,1.1523513333332929
1,gaussian_noise,0.13544066666667143,3.251001999999974
2,motion_blur,0.05714533333333461,1.3852099999999452
3,rotate,0.0863066666666694,2.1719946666666354
4,scale,0.15307266666667088,3.291467999999985
5,shot_noise,0.17902933333333396,4.082487333333371
6,snow,0.06346399999999967,1.5398926666666297
7,tilt,0.048039333333334426,1.3195679999999719
8,translate,0.07894100000000519,2.103438499999985
9,zoom_blur,0.04635466666667104,1.1346646666666247
