,Corruption,FP,T5D
0,brightness,0.030131333333331067,0.9989593333332968
1,gaussian_noise,0.12061800000000436,3.405908666666634
2,motion_blur,0.06208533333333432,1.6668926666666584
3,rotate,0.0809473333333363,2.4015973333332896
4,scale,0.13308200000000414,3.33046266666661
5,shot_noise,0.14423000000000444,3.8963966666666465
6,snow,0.07153933333333386,1.9359646666666455
7,tilt,0.04944866666666709,1.5938559999999617
8,translate,0.06671850000000316,2.1393439999999955
9,zoom_blur,0.046527333333337736,1.2869313333333092
