,Corruption,FP,T5D
0,brightness,0.04830866666667145,1.2404073333332992
1,gaussian_noise,0.10913866666666973,2.676091333333312
2,motion_blur,0.06433933333333494,1.506869333333294
3,rotate,0.08528466666666967,2.146353999999974
4,scale,0.15992333333333908,3.3475799999999833
5,shot_noise,0.12998600000000476,3.1168759999999867
6,snow,0.06365066666666602,1.5457679999999479
7,tilt,0.04811066666666728,1.306695333333293
8,translate,0.0741865000000043,1.94842949999998
9,zoom_blur,0.050196000000005944,1.193689333333293
