,Corruption,FP,T5D
0,brightness,0.04020466666666805,1.2117019999999588
1,gaussian_noise,0.1428826666666703,3.7655740000000097
2,motion_blur,0.07199266666666886,1.841731999999956
3,rotate,0.09712133333333556,2.6832346666666353
4,scale,0.15849266666666936,3.75040599999996
5,shot_noise,0.17642266666666878,4.4194199999999535
6,snow,0.09151466666667074,2.230098666666647
7,tilt,0.056493333333334124,1.7049213333332884
8,translate,0.08481900000000656,2.48520300000001
9,zoom_blur,0.05637533333333999,1.4604233333333045
