,Corruption,FP,T5D
0,brightness,0.16053466666666752,3.0088886666666115
1,gaussian_noise,0.02731399999999967,0.6273026666666591
2,motion_blur,0.011561333333333625,0.26330333333333555
3,rotate,0.04157600000000003,0.8849393333332954
4,scale,0.12585133333333315,2.474867333333282
5,shot_noise,0.044234000000000065,0.9751459999999839
6,snow,0.007752000000000128,0.15701733333334186
7,tilt,0.023467999999998115,0.512034666666658
8,translate,0.034960000000005355,0.7354224999999706
9,zoom_blur,0.013117333333333045,0.29876866666666746
