,Corruption,FP,T5D
0,brightness,0.029433999999996817,1.0228506666666313
1,gaussian_noise,0.14224533333333886,4.129368000000026
2,motion_blur,0.057822666666667605,1.637066666666649
3,rotate,0.07220333333333462,2.35605466666665
4,scale,0.12384733333333495,3.311087333333311
5,shot_noise,0.17498066666666773,4.76720333333342
6,snow,0.07399133333333498,1.9800946666666441
7,tilt,0.04247266666666684,1.5306873333332924
8,translate,0.05316800000000091,1.9399014999999902
9,zoom_blur,0.04500466666667088,1.2653733333332913
