,Corruption,FP,T5D
0,brightness,0.03182933333333027,1.0909693333332928
1,gaussian_noise,0.15567666666667054,4.403206000000011
2,motion_blur,0.06130733333333453,1.6990119999999675
3,rotate,0.07479933333333526,2.422297999999942
4,scale,0.12896800000000247,3.4056879999999503
5,shot_noise,0.1911006666666652,5.081980000000002
6,snow,0.07849000000000217,2.063452666666639
7,tilt,0.04338266666666673,1.5567273333333005
8,translate,0.05569400000000115,2.0112739999999927
9,zoom_blur,0.04595600000000402,1.2935086666666271
