,Corruption,FP,T5D
0,brightness,0.03801800000000079,1.0959146666666373
1,gaussian_noise,0.1750526666666679,4.253072666666668
2,motion_blur,0.06999400000000307,1.717475333333303
3,rotate,0.08684933333333615,2.421250666666638
4,scale,0.15601533333333975,3.592518666666624
5,shot_noise,0.2194179999999942,5.015859333333299
6,snow,0.08951933333333698,2.1188686666666277
7,tilt,0.05164666666666722,1.5615253333332937
8,translate,0.06885150000000428,2.0478100000000166
9,zoom_blur,0.05037733333333953,1.2779406666666364
