,Corruption,FP,T5D
0,brightness,0.051515333333340976,1.2793286666666444
1,gaussian_noise,0.09732066666667014,1.6761759999999208
2,motion_blur,0.01739866666666651,0.3667046666666677
3,rotate,0.07017933333333355,1.6641246666666205
4,scale,0.07096000000000179,2.4546959999999616
5,shot_noise,0.16514866666666955,2.562620666666635
6,snow,0.024305333333333304,0.5937259999999853
7,tilt,0.038432000000000056,0.9419113333332987
8,translate,0.06774850000000675,1.6861409999999997
9,zoom_blur,0.014655333333332786,0.31900866666666566
