,Corruption,FP,T5D
0,brightness,0.014486000000000113,0.9323879999999711
1,gaussian_noise,0.058196000000000796,4.088485333333259
2,motion_blur,0.019917333333333346,1.0101133333333046
3,rotate,0.030299333333333373,1.6176259999999703
4,scale,0.045864000000000835,2.078843333333303
5,shot_noise,0.06479400000000106,4.115054666666646
6,snow,0.024199333333333354,1.807123999999959
7,tilt,0.02050400000000009,1.1902773333332979
8,translate,0.023279500000000144,1.3367529999999779
9,zoom_blur,0.018747333333332863,1.0571733333333078
