,Corruption,FP,T5D
0,brightness,0.017002666666666513,1.1016793333332904
1,gaussian_noise,0.08800733333333623,4.602909333333367
2,motion_blur,0.02893666666666617,1.2807739999999634
3,rotate,0.03788066666666679,1.88235666666663
4,scale,0.05959933333333617,2.3299573333333137
5,shot_noise,0.09720533333333775,4.6174953333333555
6,snow,0.036693999999999456,2.4908259999999425
7,tilt,0.024400666666666702,1.3806566666666287
8,translate,0.030581500000000383,1.6001219999999956
9,zoom_blur,0.029229333333330776,1.4738399999999512
