,Corruption,FP,T5D
0,brightness,0.11319066666667588,2.084391999999966
1,gaussian_noise,0.0625060000000026,1.4633506666666016
2,motion_blur,0.023121999999998696,0.5535426666666504
3,rotate,0.14063666666666924,2.909557333333307
4,scale,0.23565133333332086,4.320987333333266
5,shot_noise,0.08923866666666905,2.0245953333332793
6,snow,0.02519533333333316,0.7835886666666521
7,tilt,0.06588400000000243,1.4976193333333054
8,translate,0.13236700000001908,2.7641100000000294
9,zoom_blur,0.01825133333333216,0.4486886666666661
