,Corruption,FP,T5D
0,brightness,0.20829666666664629,3.76658999999993
1,gaussian_noise,0.46009600000009204,7.449010000000045
2,motion_blur,0.12303800000000553,2.3718519999999574
3,rotate,0.20610066666665675,3.8966553333332556
4,scale,0.4471766666666219,7.228487999999928
5,shot_noise,0.5012466666667832,8.021636000000015
6,snow,0.1316273333333416,2.6046233333333113
7,tilt,0.12974333333333732,2.6280686666666457
8,translate,0.17800299999999908,3.4633590000000485
9,zoom_blur,0.08893666666667593,1.830775999999956
