,Corruption,FP,T5D
0,brightness,0.029687333333330682,0.9940159999999645
1,gaussian_noise,0.1277220000000063,3.6691113333333303
2,motion_blur,0.05424933333333484,1.512891333333305
3,rotate,0.0715480000000013,2.2056779999999643
4,scale,0.11447533333333504,3.0441639999999817
5,shot_noise,0.15354866666667047,4.218588000000001
6,snow,0.07077866666666757,1.8662699999999681
7,tilt,0.04228533333333354,1.434301999999977
8,translate,0.05084300000000113,1.7405250000000079
9,zoom_blur,0.042206000000002526,1.1768106666666425
