,Corruption,FP,T5D
0,brightness,0.015696666666666706,0.9456646666666204
1,gaussian_noise,0.08158000000000215,3.7115806666666424
2,motion_blur,0.027240666666666045,1.1904613333333018
3,rotate,0.03545866666666654,1.71210133333329
4,scale,0.057961333333336904,2.2360679999999653
5,shot_noise,0.09068733333333652,3.8512026666666457
6,snow,0.03106599999999977,1.982639999999948
7,tilt,0.023185333333333388,1.249703999999953
8,translate,0.02607100000000036,1.367722499999988
9,zoom_blur,0.025761333333331145,1.2302933333332973
