,Corruption,FP,T5D
0,brightness,0.019527999999999487,1.0878553333333005
1,gaussian_noise,0.10129133333333783,4.19851533333329
2,motion_blur,0.03175999999999919,1.3004839999999729
3,rotate,0.04417733333333277,2.034260666666613
4,scale,0.07266000000000292,2.6702779999999624
5,shot_noise,0.11143333333333905,4.384960000000012
6,snow,0.04009199999999941,2.113298666666616
7,tilt,0.029325999999999755,1.465030666666639
8,translate,0.03292150000000049,1.644623999999993
9,zoom_blur,0.031404666666663736,1.375361333333301
