,Corruption,FP,T5D
0,brightness,0.05131466666667206,1.392777333333299
1,gaussian_noise,0.11741933333333979,3.1992826666666487
2,motion_blur,0.04193133333333379,1.1996819999999753
3,rotate,0.07467133333333424,2.1774306666666234
4,scale,0.17009666666667506,3.6860073333332752
5,shot_noise,0.14530800000000504,3.7615273333333494
6,snow,0.042531333333332665,1.1774799999999688
7,tilt,0.04431866666666663,1.4146526666666153
8,translate,0.056444500000000765,1.7378519999999709
9,zoom_blur,0.03903666666666764,1.075427999999969
