,Corruption,FP,T5D
0,brightness,0.16663066666666904,3.1553739999999624
1,gaussian_noise,0.5835900000001042,8.986153333333336
2,motion_blur,0.22931466666663702,3.9915879999999566
3,rotate,0.3422826666666569,5.795519999999938
4,scale,0.43993066666662306,7.070851999999873
5,shot_noise,0.6351506666668075,9.660025333333392
6,snow,0.3006599999999925,5.143541333333299
7,tilt,0.25326399999998184,4.533606000000013
8,translate,0.2853269999999879,5.005988000000021
9,zoom_blur,0.18854399999999263,3.5038359999999797
