,Corruption,FP,T5D
0,brightness,0.009689333333333586,0.5721946666666446
1,gaussian_noise,0.055660666666666685,2.5193766666666173
2,motion_blur,0.018450666666666785,0.9324513333333024
3,rotate,0.023519333333333475,1.3415906666666328
4,scale,0.0351993333333334,1.8345919999999751
5,shot_noise,0.06811933333333414,2.911368666666662
6,snow,0.02319266666666684,1.145134666666646
7,tilt,0.015545333333333583,1.0316333333332934
8,translate,0.01439349999999995,0.916829499999962
9,zoom_blur,0.017471333333332773,0.8028593333332908
