,Corruption,FP,T5D
0,brightness,0.027769333333330804,1.0051133333333016
1,gaussian_noise,0.11361600000000635,3.6455239999999987
2,motion_blur,0.046448000000000524,1.4352986666666327
3,rotate,0.05802333333333332,2.0507613333332895
4,scale,0.09416733333333537,2.7799373333333093
5,shot_noise,0.14014133333333942,4.202198666666665
6,snow,0.06780266666666702,1.8546526666666348
7,tilt,0.03443666666666658,1.3345653333332979
8,translate,0.039767500000000726,1.5462914999999937
9,zoom_blur,0.03661600000000023,1.1327286666666387
