,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,57.696,27.232,17.064666666666668,12.074,9.0912,0.268394393613562,0.1837721832562238,0.25450027524493635,0.1732576685026288,0.10834084800444545
1,far_focus,58.688,25.907,15.383333333333333,10.426,7.5764,0.24539502942934632,0.2568960743956268,0.20578603784088045,0.22518521849997342,0.26875253254547715
2,fog_3d,59.242,23.52,11.920666666666667,6.969,4.3632,0.20739227230660617,0.18460521451197565,0.11973835434764624,0.08352455357089639,0.05506717343814671
3,flash,43.342,19.893,11.618,7.0905,3.9292,0.18337439675815403,0.07715993165038526,0.08038514573127031,0.0833028620108962,0.08510245254728943
4,color_quant,64.634,31.934,20.370666666666665,12.71,5.1164,0.2013212067540735,0.11493323056492954,0.1958929643733427,0.18828300666064024,0.12158389925025403
5,low_light,46.846,21.757,12.95,8.0795,4.2628,0.15287899877876043,0.10330278845503926,0.05943510995712131,0.09825935889966786,0.03307830233825371
6,xy_motion_blur,46.754,18.78,9.857333333333333,5.859,3.7464,0.17821239307522774,0.16819517337717116,0.13897561724297702,0.11226072511635721,0.10010348004288971
7,z_motion_blur,38.316,16.106,8.925333333333333,5.6865,4.1192,0.18877194402739406,0.19658954674378037,0.19312772643752396,0.18289969279430807,0.1945072642993182
8,iso_noise,38.456,17.385,9.214666666666666,4.255,1.3624,0.10913457442075014,0.14732588874176145,0.13328261894639581,0.195917550008744,0.19594340794719756
9,bit_error,56.306,25.035,14.284,8.8355,4.2144,0.1768571799620986,0.20291293459013104,0.1897638285299763,0.17033810331486166,0.16594725917093456
10,h265_abr,63.154,30.704,18.852,11.1315,8.992,0.16991688357666135,0.20709987357258797,0.19594660424627364,0.15197708271443844,0.17444349150173366
