,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,68.65,32.804,20.847333333333335,14.934,11.4236,0.3671749336645007,0.3226466914638877,0.37813476799055934,0.3575344942510128,0.3928377339616418
1,far_focus,69.182,31.364,19.059333333333335,13.053,9.6036,0.34433953277766705,0.3541470607742667,0.385733631439507,0.33985129930078983,0.36954536102712154
2,fog_3d,74.04,32.319,17.480666666666668,10.659,6.9944,0.5498744477517903,0.3453071534167975,0.23549291887320578,0.19469781895168126,0.13290240010246634
3,flash,47.496,21.777,12.848,7.9255,4.5084,0.29236856382340193,0.2894900538958609,0.27766236290335655,0.2876547030173242,0.2744672233238816
4,color_quant,74.014,36.603,23.359333333333332,14.795,6.4368,0.2938194191083312,0.28763040620833635,0.3088908107019961,0.23845984786748886,0.2245935737155378
5,low_light,57.136,25.935,14.762,8.23,3.4572,0.33196413796395063,0.18505788501352072,0.30156313674524426,0.21823910647071898,0.1934814255218953
6,xy_motion_blur,60.51,25.87,14.502,9.0545,6.0724,0.3014578027650714,0.2809338141232729,0.30507791228592396,0.23651697300374508,0.22609241865575314
7,z_motion_blur,51.646,22.328,12.769333333333334,8.172,5.9352,0.3526035991962999,0.40512866200879216,0.3950259368866682,0.37303867749869823,0.31686535477638245
8,iso_noise,57.874,27.759,17.029333333333334,10.9085,6.018,0.261543030384928,0.3344785193912685,0.22756735421717167,0.22219100850634277,0.09430546301882714
9,bit_error,65.854,29.172,16.612666666666666,10.2655,4.8012,0.2430495135486126,0.29100564308464527,0.3619599863886833,0.2814356447197497,0.31329754181206226
10,h265_abr,74.17,36.509,23.168,14.971,12.0892,0.34935618471354246,0.3215894568711519,0.31488605029881,0.360043958760798,0.2798922033980489
