,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,66.198,31.456,19.835333333333335,14.0285,10.6304,0.40137193351984024,0.42828208208084106,0.37102910224348307,0.3535558874718845,0.36027832608669996
1,far_focus,67.546,30.35,18.224666666666668,12.386,9.076,0.38898145966231823,0.35226910188794136,0.4770141616463661,0.5575129557400942,0.5801431955769658
2,fog_3d,73.652,32.735,18.018,11.1665,7.4396,0.3885819595307112,0.3120804401114583,0.23385766334831715,0.18118412094190717,0.13957228534854949
3,flash,54.94,25.586,15.462666666666667,9.9,5.9184,0.42661793902516365,0.4295092048123479,0.4015790671110153,0.36770224082283676,0.29299293528310955
4,color_quant,72.56,35.621,22.433333333333334,14.071,6.2596,0.3438117764890194,0.29945888835936785,0.28658188320696354,0.3122540283948183,0.31064149271696806
5,low_light,40.12,16.337,8.128,3.5695,0.728,0.3336318861693144,0.20759006449952722,0.26766669703647494,0.1458366282749921,0.1004609395749867
6,xy_motion_blur,56.598,23.746,12.911333333333333,7.845,5.1108,0.3144243061542511,0.3843251094222069,0.40653694327920675,0.41963399527594447,0.3043411453254521
7,z_motion_blur,50.164,21.777,12.524666666666667,8.077,5.8796,0.4975265748798847,0.3537606978788972,0.4234194001182914,0.3671604860574007,0.34515886940062046
8,iso_noise,59.484,28.855,18.120666666666665,12.1275,8.0036,0.23064915463328362,0.21342340763658285,0.28016463480889797,0.3062826991081238,0.2734484956599772
9,bit_error,66.13,29.653,17.036666666666665,10.7335,5.1176,0.2891616579145193,0.2946249209344387,0.38276212476193905,0.3687590705230832,0.2967266794294119
10,h265_abr,73.142,35.612,22.057333333333332,13.851,11.214,0.29159191623330116,0.3990400154143572,0.3645647522062063,0.44728596042841673,0.4370397347956896
