,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,70.642,33.828,21.588,15.4695,11.8432,0.4864354357123375,0.5028828382492065,0.48786802403628826,0.46858698688447475,0.38345195911824703
1,far_focus,71.744,32.893,20.137333333333334,13.8645,10.2492,0.4012850448489189,0.5430288761854172,0.5495575554668903,0.4881238378584385,0.5541271530091763
2,fog_3d,75.556,34.124,19.037333333333333,11.835,7.88,0.5597757026553154,0.38155608996748924,0.3082380397245288,0.2818263918161392,0.21116678742691875
3,flash,56.3,26.208,15.744666666666667,9.9895,5.9508,0.4845493007451296,0.3040535692125559,0.4845490949228406,0.3913432378321886,0.31727875769138336
4,color_quant,76.116,37.792,24.627333333333333,17.143,10.268,0.5445474535226822,0.5020890114828944,0.4742593877017498,0.5631294399499893,0.4641479756683111
5,low_light,65.74,31.584,19.752666666666666,13.4245,8.6444,0.5588559899479151,0.5953855440020561,0.5171939060091972,0.38518594671040773,0.26188709447160363
6,xy_motion_blur,62.514,26.954,15.058666666666667,9.284,6.1152,0.4409822393208742,0.3691696086898446,0.3396863080561161,0.40836318768560886,0.41180378664284945
7,z_motion_blur,56.638,25.217,14.784,9.687,7.1328,0.49213712848722935,0.38692972250282764,0.3521373625844717,0.255094388499856,0.34695238433778286
8,iso_noise,67.432,33.132,21.162666666666667,14.55,9.648,0.230155770201236,0.294178226031363,0.2823915081098676,0.2861748752184212,0.12981772958301008
9,bit_error,69.54,31.46,18.35333333333333,11.6655,5.8708,0.3893800638616085,0.41082494519650936,0.3738118149340153,0.3540515583008528,0.16127237863838673
10,h265_abr,76.584,37.412,23.634,15.4835,12.57,0.4132132511585951,0.42337472178041935,0.48636873718351126,0.5004457542672753,0.4598332904279232
