,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,67.572,32.307,20.416666666666668,14.51,11.0544,0.3581526142079383,0.4006697104778141,0.26854113349691033,0.25716834980994463,0.22126456070691347
1,far_focus,68.998,31.304,19.03,13.021,9.594,0.3666616443078965,0.2979664891026914,0.2472462800797075,0.22081188228912652,0.29914619610644877
2,fog_3d,74.452,33.664,18.857333333333333,11.728,7.8284,0.26550664845854044,0.20416791294701397,0.23892992304172367,0.2263046584557742,0.16173431929200888
3,flash,56.922,26.85,16.408,10.5735,6.5432,0.3400592771358788,0.21845843829214573,0.3365329192019999,0.2714514625258744,0.287767592119053
4,color_quant,73.728,36.515,23.374666666666666,15.4955,10.1676,0.3854188653640449,0.28451451007276773,0.30483151506632566,0.3052761540748179,0.2936619105748832
5,low_light,59.686,28.135,17.516666666666666,11.808,7.4436,0.3771904855966568,0.3733154176734388,0.20362020144239068,0.29687013011425734,0.19098945776931942
6,xy_motion_blur,57.368,23.93,13.022,7.8515,5.0648,0.21429386478848755,0.2637750804424286,0.31899148249067366,0.3590484745800495,0.32114369072951376
7,z_motion_blur,51.24,22.156,12.666,8.0475,5.8304,0.27744618989527225,0.27322809025645256,0.2909848913550377,0.327911838889122,0.3074565473943949
8,iso_noise,61.2,29.792,18.610666666666667,12.341,7.434,0.3057664465159178,0.2817583354189992,0.29977030772715807,0.24404019117355347,0.1876423133071512
9,bit_error,65.856,29.509,17.02,10.7645,5.2724,0.3068088791333139,0.3170478483662009,0.30148826632648706,0.3495569541119039,0.2868721317499876
10,h265_abr,72.762,35.29,21.573333333333334,12.911,10.4856,0.31589409429579973,0.326443278696388,0.2767736208625138,0.3312046779319644,0.4054483505897224
