,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,75.714,36.708,23.572666666666667,17.0365,13.116,0.45175204798579216,0.37338843382894993,0.36372386384755373,0.3675620732828975,0.44018091075122356
1,far_focus,76.072,35.248,21.85333333333333,15.227,11.3764,0.4661940010264516,0.3824859447777271,0.39763069339096546,0.4423716254532337,0.49981161020696163
2,fog_3d,77.326,35.591,20.327333333333332,12.8745,8.7136,0.1936048862989992,0.15721790812676772,0.09222508443053812,0.10686744305712637,0.08616886346135288
3,flash,67.76,32.523,20.34,13.7555,9.0212,0.4730835724622011,0.40145362447947264,0.3454111563041806,0.36578759644180536,0.32560517080128193
4,color_quant,79.93,39.798,25.689333333333334,17.2375,11.6572,0.4455002639442682,0.4650450381450355,0.3899019183591008,0.28616019804030657,0.372405129019171
5,low_light,71.222,34.856,22.542,16.01,11.512,0.25842006504535675,0.2908442420884967,0.22459699772298336,0.24310914264060557,0.21513878856785595
6,xy_motion_blur,68.514,30.141,17.283333333333335,11.012,7.3968,0.25391225749626756,0.27084556268528104,0.26028845366090536,0.23485445277765393,0.23951463494449854
7,z_motion_blur,62.12,27.708,16.323333333333334,10.727,7.9052,0.3250980135053396,0.3339848639443517,0.37694959016516805,0.3618108471855521,0.35937180928885937
8,iso_noise,71.316,35.373,23.146,16.5825,11.936,0.30118641816079617,0.22160298889502883,0.24532326217740774,0.35578169487416744,0.31041112123057246
9,bit_error,74.612,34.597,20.676666666666666,13.6085,7.4468,0.35075858049094677,0.3682629428803921,0.3609352074563503,0.29753287276253104,0.36298605566844344
10,h265_abr,79.95,39.291,24.72533333333333,16.028,13.0352,0.3088874937966466,0.3411070751026273,0.2530640671029687,0.28790831845253706,0.3717284509912133
