,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,65.988,31.413,19.878,14.098,10.7136,0.361415421590209,0.36369480984285474,0.33357266848906875,0.3020017179660499,0.37206838256679475
1,far_focus,66.618,29.878,17.877333333333333,12.187,8.934,0.4105430133640766,0.349508554674685,0.33671462070196867,0.34543523099273443,0.3640794921666384
2,fog_3d,68.002,28.351,14.96,8.9005,5.6868,0.39738693134859204,0.3140636490425095,0.18865660921437666,0.2169527235091664,0.20129178516799584
3,flash,49.616,22.803,13.458666666666666,8.308,4.7276,0.2227340922690928,0.2680640839971602,0.18787529412657022,0.21854563103988767,0.20227559097111225
4,color_quant,71.53,35.532,22.544666666666668,13.626,5.3252,0.3574784295633435,0.44437994342297316,0.3374407608062029,0.3852018481120467,0.39311703387647867
5,low_light,57.488,27.462,17.115333333333332,11.327,6.8736,0.26485508074983954,0.26046591671183705,0.11977414297871292,0.24067275412380695,0.23038224480114877
6,xy_motion_blur,51.634,19.805,9.96,5.7185,3.6156,0.15855865739285946,0.19945328775793314,0.2602379012387246,0.23431601468473673,0.2351827013771981
7,z_motion_blur,48.836,20.85,11.716666666666667,7.4875,5.426,0.4213668364100158,0.359151650685817,0.418883653357625,0.4209647476673126,0.3384023932740092
8,iso_noise,49.224,23.02,13.236,7.5385,3.4628,0.29336204985156655,0.2777910032309592,0.26677506044507027,0.3728559254668653,0.28855583211407065
9,bit_error,62.968,28.086,16.112666666666666,10.0325,4.7636,0.4251816915348172,0.3375482396222651,0.3620818159542978,0.45511582400649786,0.398766634054482
10,h265_abr,70.638,34.695,21.676,13.697,11.1276,0.25991343753412366,0.31804675981402397,0.30002358416095376,0.43324012495577335,0.3948061531409621
