,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,71.738,34.377,21.836666666666666,15.5945,11.868,0.3915420472621918,0.2645007371902466,0.21226495504379272,0.2898064851760864,0.2536919116973877
1,far_focus,72.124,32.855,19.950666666666667,13.7385,10.1308,0.40027621388435364,0.40027621388435364,0.40027621388435364,0.40027621388435364,0.40027621388435364
2,fog_3d,73.744,32.788,18.099333333333334,11.1435,7.3628,0.14465539157390594,0.02102096565067768,0.009346207603812218,0.009837482124567032,0.01008382998406887
3,flash,61.062,28.918,17.704666666666668,11.533,7.1936,0.22566072642803192,0.22859865427017212,0.1527917981147766,0.06877586245536804,0.06428588926792145
4,color_quant,76.85,38.061,24.626,16.7255,9.0856,0.34831100702285767,0.4976460337638855,0.33180147409439087,0.1270168423652649,0.08058737963438034
5,low_light,65.828,31.891,20.194666666666667,13.9575,9.2728,0.18819957971572876,0.39549124240875244,0.13189248740673065,0.20585623383522034,0.16531100869178772
6,xy_motion_blur,61.664,25.368,13.597333333333333,8.1835,5.2868,0.12752971053123474,0.14936032891273499,0.08163991570472717,0.07867418974637985,0.12797614932060242
7,z_motion_blur,53.97,23.096,13.06,8.299,6.0292,0.6804311275482178,0.7873426079750061,0.7141280770301819,0.6425937414169312,0.5179732441902161
8,iso_noise,62.118,29.703,18.033333333333335,11.11,5.7648,0.0870029404759407,0.06578601151704788,0.090666264295578,0.03159439191222191,0.05045802891254425
9,bit_error,68.922,31.298,18.304,11.6955,5.958,0.7310666143894196,0.7310666143894196,0.33742430806159973,0.8257506638765335,0.1165468767285347
10,h265_abr,75.74,37.032,22.982,14.075,11.4532,0.259335994720459,0.18127606809139252,0.12030041962862015,0.08301244676113129,0.08184245973825455
