,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,72.814,35.209,22.652,16.404,12.6608,0.5472862813621759,0.41457551158964634,0.33746130391955376,0.5103599634021521,0.26263609156012535
1,far_focus,72.208,32.869,19.976,13.721,10.1224,0.33167625963687897,0.29466257337480783,0.2336071003228426,0.3813770543783903,0.4378800820559263
2,fog_3d,74.444,33.27,18.391333333333332,11.36,7.5012,0.37581199035048485,0.2785263881087303,0.2178082240279764,0.2693365899613127,0.23819267272483557
3,flash,60.162,28.332,17.262666666666668,11.2725,6.9916,0.575726268813014,0.30498381657525897,0.43755861558020115,0.35763332387432456,0.3777304198592901
4,color_quant,77.05,38.178,24.642666666666667,16.484,8.9124,0.3618100471794605,0.22641021851450205,0.3606622014194727,0.37648442573845387,0.2352716065943241
5,low_light,68.436,33.371,21.508,15.168,10.4808,0.3316058637574315,0.3446716070175171,0.3162126922979951,0.29469139873981476,0.2968802209943533
6,xy_motion_blur,64.392,28.079,15.948,10.1445,6.884,0.32396175106987357,0.3253208212554455,0.3243347415700555,0.26246401527896523,0.31823159009218216
7,z_motion_blur,59.246,26.454,15.612666666666666,10.203,7.4904,0.2985183373093605,0.16871463973075151,0.17150120856240392,0.25923468195833266,0.2483037393540144
8,iso_noise,63.688,31.065,19.615333333333332,12.973,8.042,0.2766801733523607,0.3184098186902702,0.3695112355053425,0.2805199045687914,0.34855543449521065
9,bit_error,69.532,31.298,18.085333333333335,11.357,5.5956,0.37108847312629223,0.2853683587163687,0.1517800409346819,0.27105229161679745,0.33337468560785055
10,h265_abr,77.04,37.873,23.936666666666667,15.4755,12.5532,0.2564024031162262,0.17765922471880913,0.44769601058214903,0.4115298893302679,0.47770914901047945
