,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,73.742,35.786,23.035333333333334,16.713,12.8952,0.2361515937373042,0.2787315798923373,0.16647602198645473,0.23387727630324662,0.24655483849346638
1,far_focus,74.22,34.369,21.236,14.7985,11.0868,0.2813429874368012,0.24370181607082486,0.23430359177291393,0.2369380770251155,0.25162168964743614
2,fog_3d,79.34,36.37,20.368666666666666,12.8385,8.5864,0.3876190730370581,0.1917652974370867,0.2077837132383138,0.1774992982391268,0.21153621654957533
3,flash,56.868,26.738,16.251333333333335,10.555,6.5676,0.26549233752302825,0.28655269008595496,0.18644004344241694,0.23463809490203857,0.24049645639024675
4,color_quant,77.994,38.562,25.066,17.144,9.7084,0.3032622514292598,0.2880747118033469,0.24996028654277325,0.25107325334101915,0.19749638298526406
5,low_light,60.922,27.906,15.876666666666667,8.4555,2.6604,0.29239362804219127,0.2651456007733941,0.3324546911753714,0.27084530715364963,0.160185523040127
6,xy_motion_blur,67.106,29.503,17.010666666666665,10.8355,7.3656,0.38222707575187087,0.3707706378772855,0.339270245982334,0.3113169870339334,0.3212366532534361
7,z_motion_blur,58.426,25.828,15.136666666666667,9.952,7.3816,0.3176681937184185,0.3194243411999196,0.3151967979501933,0.2759434024337679,0.25305389100685716
8,iso_noise,67.082,33.155,21.386666666666667,15.0865,10.414,0.3405101951211691,0.3645400006789714,0.3161929454654455,0.35555163212120533,0.26619362737983465
9,bit_error,71.014,32.272,18.898,12.0365,6.0544,0.3166078506037593,0.2766797603107989,0.26259558415040374,0.25624984689056873,0.1851808289065957
10,h265_abr,78.612,38.765,24.856666666666666,16.6245,13.376,0.29185532592236996,0.34227574802935123,0.2801246417220682,0.24516061088070273,0.3298164007719606
