,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,78.914,38.645,25.168,18.4795,14.432,0.19898649398237467,0.2238073470070958,0.24844648875296116,0.24378515081480145,0.21908287657424808
1,far_focus,79.344,37.655,23.818,16.944,12.894,0.2699801493436098,0.14786571078002453,0.31753850914537907,0.1875992827117443,0.29433563258498907
2,fog_3d,80.826,36.952,20.923333333333332,13.243,8.9384,0.36450672429054976,0.31339983362704515,0.28520148107782006,0.25443269324023277,0.15857833094196394
3,flash,71.328,34.448,21.8,14.9375,10.0672,0.3155979113653302,0.36215359065681696,0.3028373597189784,0.22972223768010736,0.3230329412035644
4,color_quant,81.878,40.688,26.712,18.8135,12.0164,0.34776140097528696,0.34522447269409895,0.30470404401421547,0.322237147949636,0.30463385628536344
5,low_light,75.468,36.738,23.576,16.418,10.9608,0.31597212236374617,0.3636682238429785,0.4016015026718378,0.3514458709396422,0.32086115377023816
6,xy_motion_blur,74.536,34.236,20.658,13.831,9.7688,0.3301229905337095,0.23754370072856545,0.20384339336305857,0.2612643497996032,0.2971732036676258
7,z_motion_blur,69.774,32.444,19.845333333333333,13.57,10.214,0.2943652952089906,0.22022092761471868,0.19849342992529273,0.25385597674176097,0.254684635438025
8,iso_noise,75.142,37.104,24.195333333333334,17.283,12.4488,0.2583445671480149,0.24727475084364411,0.28426659666001797,0.28968700021505356,0.2773470755200833
9,bit_error,74.852,34.137,20.168666666666667,12.8835,6.6076,0.30446088686585426,0.3501634206622839,0.2271598184015602,0.26095831766724586,0.28176660323515534
10,h265_abr,82.094,40.614,26.372,18.226,14.6036,0.12812044192105532,0.18231225106865168,0.2569143734872341,0.27584783686324954,0.32175801368430257
