,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,77.284,37.619,24.334,17.6685,13.6508,0.42167686112225056,0.29109035432338715,0.4096383564174175,0.42489267885684967,0.5112657137215137
1,far_focus,77.636,36.524,22.867333333333335,16.1235,12.0816,0.4690768923610449,0.5224721152335405,0.4194594491273165,0.4774044640362263,0.50017617829144
2,fog_3d,78.834,36.326,20.564,12.9765,8.7184,0.3108317614533007,0.36525865783914924,0.29616902640555054,0.11691556393634528,0.19470567101961933
3,flash,70.04,33.669,21.167333333333332,14.404,9.5684,0.4631624687463045,0.3196127275004983,0.25950358287082054,0.36241255968343467,0.254413997172378
4,color_quant,80.748,40.194,26.333333333333332,18.542,12.8792,0.4793350789695978,0.3939286731183529,0.4777796044945717,0.44098992832005024,0.29264623299241066
5,low_light,75.384,37.131,24.172666666666668,17.3105,12.6784,0.4596427585929632,0.32167469058185816,0.24875815166160464,0.30307045904919505,0.11025075032375753
6,xy_motion_blur,71.678,32.414,19.085333333333335,12.4505,8.5604,0.40339282527565956,0.3999417144805193,0.2674460429698229,0.4183049574494362,0.3185882503166795
7,z_motion_blur,66.37,30.35,18.09,12.041,8.9476,0.294878251850605,0.4065521750599146,0.36541026644408703,0.24393093958497047,0.37330363504588604
8,iso_noise,75.498,37.32,24.372666666666667,17.4445,12.6528,0.400696724653244,0.41037888545542955,0.4701161431148648,0.4969825316220522,0.4361694632098079
9,bit_error,75.47,34.82,20.818666666666665,13.538,7.1932,0.24689463339745998,0.338221681304276,0.4199593588709831,0.42046417854726315,0.4007246047258377
10,h265_abr,81.594,40.224,25.63533333333333,17.0675,13.772,0.4034218192100525,0.41902131494134665,0.3153099697083235,0.5368078267201781,0.488072759937495
